title,type,premiere_date,tmdb_id,original_language,production_countries,runtime_min,genres_tmdb,cast_popularity_max,cast_popularity_mean,crew_popularity_max,is_ip_adaptation,episode_count_s1,episode_runtime_avg_s1,release_cadence,imdb_id,keywords,has_keywords,wiki_views_28d,wiki_has_views,wiki_views_28d_log,imdb_rating_used,imdb_rating_source,imdb_votes_used,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,weeks_top10_global,ever_top10_global,best_rank_global,total_hours_top10_global,total_views_top10_global,first28d_weeks_global,first28d_hours_global,first28d_views_global
Cocomelon Lane,series,2023-11-17,209710,en,,,"Animation,Kids",1.1,0.432,,0,9,25.8,binge,tt15040002,"spin off, child, education, children, fruit in title",1,,0,,2.51,s1,289,7.5,30,1.613,8,1,3,61900000,17600000,3,33700000,8600000
Building the Band,series,2025-07-09,261887,en,,,Reality,0.8036,0.194,,0,10,55,hybrid,tt32492739,"performer, competition, talent, performance, singer",1,328749,1,12.70305286,7.49,s1,532,7.864,11,1.7896,1,1,9,14700000,1600000,1,14700000,1600000
I Am Ilary,series,2025-01-09,278701,it,,,"Reality,Documentary",0.5318,0.532,,0,5,34,binge,tt35052467,,0,,0,,4.2,series,0,6,6,0.9248,0,0,0,0,0,0,0,0
Rhythm + Flow France,series,2022-06-09,133784,fr,,,Reality,0.5068,0.261,,0,8,41.4,binge,tt20192132,"france, rap, rapper, hip hop, competition",1,,0,,4.9,s1,86,7.3,15,4.4001,4,1,5,24620000,3500000,0,0,0
Next Gen Chef,series,2025-09-17,298620,en,,,Reality,0.5058,0.204,,0,8,46.9,binge,tt37694105,"ingredients, competition reality tv, judge, cook, competition",1,,0,,7,s1,136,7.5,2,1.6211,0,0,0,0,0,0,0,0
Bad Influencer,series,2025-10-31,302854,en,,,"Drama,Crime",0.4153,0.38,,0,7,47.6,binge,tt38624867,tv mini series,1,26932,1,10.20110758,8.69,s1,53,8.667,3,3.9314,0,0,0,0,0,0,0,0
Love Is Blind: Argentina,series,2024-11-06,275146,es,,,Reality,0.4147,0.25,,0,11,57.6,hybrid,tt29494110,"dating and romance reality tv, dating, love, wedding, argentina",1,741,1,6.609349243,5.12,s1,127,5.9,4,0.6505,0,0,0,0,0,0,0,0
Inside: USA,series,2025-09-21,299675,en,,,Reality,0.4099,0.317,,1,9,43.3,hybrid,tt35969227,"adaptation, content creator, prize money, reality competition",1,,0,,6.34,s1,347,4.6,4,1.2899,0,0,0,0,0,0,0,0
Yolanthe,series,2025-06-18,290388,nl,,,Reality,0.3833,0.104,,0,7,40.3,binge,tt33989829,,0,,0,,6.3,s1,47,6,1,0.9069,0,0,0,0,0,0,0,0
At Home with the Furys,series,2023-08-16,230939,en,,,"Reality,Family,Documentary",0.3434,0.151,,0,9,34.1,binge,tt21875120,"heavyweight, boxing, champion, career, husband wife relationship",1,1711,1,7.445417557,7.42,s1,363,7.8,10,0.9412,2,1,4,32500000,6300000,2,32500000,6300000
Blippi's Job Show,series,2025-04-07,285836,en,,,"Family,Kids",0.2829,0.166,,0,10,19.3,binge,tt33522709,,0,,0,,5.1,series,0,8,15,0.3957,0,0,0,0,0,0,0,0
Love Is Blind: France,series,2025-09-10,277544,fr,,,Reality,0.2478,0.206,,0,10,58.3,hybrid,tt34683603,"blind date, dating show, engagement, falling in love, love, single",1,27820,1,10.23354641,6.77,s1,120,9,2,1.8141,2,1,8,14400000,2600000,2,14400000,2600000
Selling the OC,series,2022-08-24,139566,en,,,Reality,0.153,0.081,,0,8,33.8,binge,tt15907000,"business and occupation reality tv, company, female nudity, female rear nudity, female full frontal nudity",1,2086,1,7.643482907,6.04,s1,425,5.9,18,6.7349,5,1,5,67550000,7600000,2,32350000,0
Rhythm + Flow Italy,series,2024-02-19,243202,it,,,Reality,0.1413,0.097,,0,8,47.2,binge,tt28020043,"italy, competition reality tv, rap music, competition, rap",1,,0,,8.4,s1,9,7,16,1.3809,0,0,0,0,0,0,0,0
